Datetime,Open,High,Low,Close,Volume
2023-10-16 00:00:00+00:00,27154.14,27193.54,27112.66,27141.88,1085.32002
2023-10-16 01:00:00+00:00,27141.87,27279.67,27141.87,27194.96,1891.31272
2023-10-16 02:00:00+00:00,27194.96,27285.91,27179.9,27191.29,711.95236
2023-10-16 03:00:00+00:00,27191.28,27235.92,27160.01,27235.92,827.45049
2023-10-16 04:00:00+00:00,27235.92,27275.0,27193.98,27251.18,687.69811
2023-10-16 05:00:00+00:00,27251.18,27980.0,27251.17,27916.44,8457.76027
2023-10-16 06:00:00+00:00,27916.43,27971.34,27789.0,27812.61,3387.88535
2023-10-16 07:00:00+00:00,27812.6,27920.0,27802.94,27849.06,2012.97606
2023-10-16 08:00:00+00:00,27849.05,27902.99,27805.29,27809.84,1725.43178
2023-10-16 09:00:00+00:00,27809.83,27810.94,27641.72,27768.07,2028.94012
2023-10-16 10:00:00+00:00,27768.06,27788.36,27696.22,27770.03,1228.59118
2023-10-16 11:00:00+00:00,27770.03,27773.85,27674.12,27749.6,924.36556
2023-10-16 12:00:00+00:00,27749.61,27887.99,27709.04,27887.99,1977.93691
2023-10-16 13:00:00+00:00,27887.99,30000.0,27730.0,28000.0,27563.36388
2023-10-16 14:00:00+00:00,27999.99,28399.99,27888.88,28193.83,5126.86454
2023-10-16 15:00:00+00:00,28193.83,28216.1,28034.11,28064.16,2118.30835
2023-10-16 16:00:00+00:00,28064.16,28182.54,28064.16,28087.99,1722.67039
2023-10-16 17:00:00+00:00,28088.0,28241.63,28086.68,28234.99,1814.11151
2023-10-16 18:00:00+00:00,28235.0,28593.46,28231.04,28551.21,3784.24033
2023-10-16 19:00:00+00:00,28551.2,28808.51,28394.04,28468.85,3782.88186
2023-10-16 20:00:00+00:00,28468.86,28643.0,28322.89,28407.4,1889.33695
2023-10-16 21:00:00+00:00,28407.39,28453.65,28230.37,28423.38,1475.25222
2023-10-16 22:00:00+00:00,28423.38,28558.7,28380.61,28509.57,1343.79878
2023-10-16 23:00:00+00:00,28509.58,28545.87,28438.61,28500.78,830.77471
2023-10-17 00:00:00+00:00,28500.77,28549.34,28231.01,28278.09,2394.83513
2023-10-17 01:00:00+00:00,28278.08,28418.96,28270.0,28350.0,1226.38762
2023-10-17 02:00:00+00:00,28349.99,28388.17,28291.76,28368.27,1373.43932
2023-10-17 03:00:00+00:00,28368.28,28369.99,28251.27,28269.99,1034.47916
2023-10-17 04:00:00+00:00,28270.0,28270.0,28069.32,28186.23,1960.63936
2023-10-17 05:00:00+00:00,28186.23,28231.0,28144.21,28220.44,873.31465
2023-10-17 06:00:00+00:00,28220.44,28242.29,28120.5,28229.61,1289.99185
2023-10-17 07:00:00+00:00,28229.6,28475.82,28206.72,28430.63,3502.99577
2023-10-17 08:00:00+00:00,28430.62,28520.0,28350.11,28437.35,2381.08836
2023-10-17 09:00:00+00:00,28437.34,28476.47,28364.21,28446.79,754.75321
2023-10-17 10:00:00+00:00,28446.79,28609.38,28409.27,28506.13,1691.27633
2023-10-17 11:00:00+00:00,28506.13,28527.38,28417.55,28422.63,1074.04905
2023-10-17 12:00:00+00:00,28422.63,28471.3,28180.0,28218.92,2213.09561
2023-10-17 13:00:00+00:00,28218.92,28397.26,28135.35,28291.83,2789.80247
2023-10-17 14:00:00+00:00,28291.83,28510.0,28277.09,28464.57,2467.50105
2023-10-17 15:00:00+00:00,28464.57,28580.34,28430.01,28461.72,2243.88653
2023-10-17 16:00:00+00:00,28461.72,28600.0,28430.48,28584.81,1610.62226
2023-10-17 17:00:00+00:00,28584.8,28613.65,28359.89,28427.27,1620.76643
2023-10-17 18:00:00+00:00,28427.27,28487.36,28306.42,28348.22,1400.02589
2023-10-17 19:00:00+00:00,28348.22,28516.47,28344.19,28516.47,1279.73586
2023-10-17 20:00:00+00:00,28516.47,28540.0,28445.65,28445.65,1233.00425
2023-10-17 21:00:00+00:00,28445.66,28556.56,28411.18,28487.32,855.11876
2023-10-17 22:00:00+00:00,28487.31,28487.32,28373.33,28416.91,742.16166
2023-10-17 23:00:00+00:00,28416.91,28444.38,28386.51,28395.91,415.47474
2023-10-18 00:00:00+00:00,28395.91,28436.97,28320.29,28376.34,776.51394
2023-10-18 01:00:00+00:00,28376.33,28417.88,28322.67,28353.88,634.68944
2023-10-18 02:00:00+00:00,28353.89,28508.83,28353.88,28471.15,915.91468
2023-10-18 03:00:00+00:00,28471.15,28514.66,28439.8,28514.42,579.29489
2023-10-18 04:00:00+00:00,28514.43,28982.36,28441.71,28730.72,3031.9266
2023-10-18 05:00:00+00:00,28730.72,28860.71,28637.94,28695.5,3334.27162
2023-10-18 06:00:00+00:00,28695.51,28742.23,28621.03,28667.03,1137.69878
2023-10-18 07:00:00+00:00,28667.03,28672.59,28483.24,28494.55,1653.97175
2023-10-18 08:00:00+00:00,28494.55,28561.52,28469.99,28561.51,1020.31462
2023-10-18 09:00:00+00:00,28561.52,28599.0,28236.41,28267.58,1640.57304
