Datetime,Open,High,Low,Close,Volume
2020-01-01 03:00:00+00:00,7242.66,7245.0,7220.0,7225.01,783.724867
2020-01-01 04:00:00+00:00,7225.0,7230.0,7215.03,7217.27,467.812578
2020-01-01 05:00:00+00:00,7217.26,7229.76,7216.65,7224.21,344.670596
2020-01-01 06:00:00+00:00,7224.24,7236.27,7221.51,7225.62,621.467023
2020-01-01 07:00:00+00:00,7225.88,7232.94,7199.11,7209.83,627.344854
2020-01-01 08:00:00+00:00,7209.83,7210.0,7180.0,7200.64,915.545974
2020-01-01 09:00:00+00:00,7200.29,7210.51,7188.0,7188.77,636.386102
2020-01-01 10:00:00+00:00,7189.07,7210.0,7185.2,7202.0,537.762804
2020-01-01 11:00:00+00:00,7202.01,7237.73,7188.61,7197.2,1076.959481
2020-01-01 12:00:00+00:00,7197.2,7233.33,7196.15,7225.59,868.75358
2020-01-01 13:00:00+00:00,7225.84,7231.89,7212.88,7221.2,612.180902
2020-01-01 14:00:00+00:00,7221.17,7234.97,7208.17,7221.43,617.714185
2020-01-01 15:00:00+00:00,7221.6,7255.0,7218.29,7234.19,1393.888792
2020-01-01 16:00:00+00:00,7234.2,7246.42,7214.0,7245.37,881.93278
2020-01-01 17:00:00+00:00,7244.34,7249.99,7224.92,7236.83,1069.210567
2020-01-01 18:00:00+00:00,7237.02,7246.72,7225.17,7240.67,611.693307
2020-01-01 19:00:00+00:00,7240.8,7241.0,7225.49,7229.48,417.746637
2020-01-01 20:00:00+00:00,7229.48,7242.98,7224.68,7236.73,391.834174
2020-01-01 21:00:00+00:00,7237.26,7242.75,7227.0,7233.17,285.454078
2020-01-01 22:00:00+00:00,7233.32,7234.49,7186.0,7197.99,769.030411
2020-01-01 23:00:00+00:00,7197.62,7204.17,7175.15,7200.85,811.25016
2020-01-02 00:00:00+00:00,7200.77,7212.5,7185.46,7211.02,391.352377
2020-01-02 01:00:00+00:00,7211.04,7211.16,7185.11,7190.99,402.660139
2020-01-02 02:00:00+00:00,7190.99,7191.0,7155.35,7169.02,1387.377886
2020-01-02 03:00:00+00:00,7169.04,7169.06,7120.37,7129.61,1557.96443
2020-01-02 04:00:00+00:00,7129.25,7161.0,7116.7,7142.21,1252.447877
2020-01-02 05:00:00+00:00,7142.61,7152.05,7126.93,7138.93,569.50899
2020-01-02 06:00:00+00:00,7138.93,7149.02,7121.43,7135.97,687.600665
2020-01-02 07:00:00+00:00,7136.04,7140.63,7105.0,7110.57,1548.403823
2020-01-02 08:00:00+00:00,7110.98,7157.48,7109.11,7154.36,1114.825128
2020-01-02 09:00:00+00:00,7153.57,7165.0,7135.36,7162.01,840.001328
2020-01-02 10:00:00+00:00,7162.18,7180.0,7153.33,7161.83,1446.219984
2020-01-02 11:00:00+00:00,7161.89,7168.67,7139.03,7139.79,761.15657
2020-01-02 12:00:00+00:00,7139.73,7163.4,7139.03,7158.29,794.030497
2020-01-02 13:00:00+00:00,7158.86,7163.35,7107.43,7131.15,1566.280693
2020-01-02 14:00:00+00:00,7131.18,7157.1,7122.34,7135.59,956.300925
2020-01-02 15:00:00+00:00,7135.59,7152.0,7120.0,7130.98,862.429718
2020-01-02 16:00:00+00:00,7130.37,7146.85,7020.0,7052.32,3604.474152
2020-01-02 17:00:00+00:00,7052.32,7053.09,6924.74,6970.04,6183.82554
2020-01-02 18:00:00+00:00,6970.04,6989.68,6949.96,6974.02,1513.597939
2020-01-02 19:00:00+00:00,6974.02,6995.0,6960.0,6983.27,1397.130602
2020-01-02 20:00:00+00:00,6982.63,6983.22,6941.27,6948.49,1138.646334
2020-01-02 21:00:00+00:00,6948.16,6985.0,6946.2,6977.73,665.856715
2020-01-02 22:00:00+00:00,6977.55,6978.24,6963.02,6974.8,568.324029
2020-01-02 23:00:00+00:00,6974.8,6974.8,6950.0,6965.71,741.067591
2020-01-03 00:00:00+00:00,6965.49,6966.47,6912.88,6937.0,1106.732043
2020-01-03 01:00:00+00:00,6937.0,6946.07,6878.19,6888.85,2402.581684
2020-01-03 02:00:00+00:00,6888.26,6966.8,6871.04,6956.88,2869.993553
2020-01-03 03:00:00+00:00,6957.66,6966.36,6940.0,6952.04,1246.589508
2020-01-03 04:00:00+00:00,6952.04,7264.71,6948.64,7210.19,9560.897697
2020-01-03 05:00:00+00:00,7210.2,7249.0,7168.48,7220.47,3575.770965
2020-01-03 06:00:00+00:00,7220.49,7225.0,7190.14,7202.22,2075.25916
2020-01-03 07:00:00+00:00,7202.06,7232.0,7185.04,7203.21,2185.376884
2020-01-03 08:00:00+00:00,7202.28,7297.29,7202.28,7260.6,3976.534509
2020-01-03 09:00:00+00:00,7260.64,7358.88,7256.56,7348.42,5469.030632
2020-01-03 10:00:00+00:00,7349.3,7371.92,7281.3,7312.25,3924.462414
2020-01-03 11:00:00+00:00,7312.26,7346.0,7306.61,7340.46,1826.857466
2020-01-03 12:00:00+00:00,7340.46,7350.19,7303.14,7322.78,1717.22262
2020-01-03 13:00:00+00:00,7324.1,7380.0,7311.59,7348.87,1906.468998
2020-01-03 14:00:00+00:00,7348.36,7362.31,7229.3,7254.73,4583.643119
2020-01-03 15:00:00+00:00,7255.49,7322.44,7252.48,7320.18,2371.650792
2020-01-03 16:00:00+00:00,7320.17,7405.0,7293.1,7386.03,5852.326934
2020-01-03 17:00:00+00:00,7388.21,7403.2,7335.21,7355.26,2201.223063
2020-01-03 18:00:00+00:00,7355.23,7369.47,7330.32,7342.96,1422.531602
2020-01-03 19:00:00+00:00,7342.95,7352.33,7280.0,7343.08,2259.002878
2020-01-03 20:00:00+00:00,7343.62,7361.0,7297.01,7316.99,1546.013182
2020-01-03 21:00:00+00:00,7317.01,7335.0,7262.68,7283.0,1227.929145
2020-01-03 22:00:00+00:00,7281.69,7320.54,7260.01,7300.56,1407.545265
2020-01-03 23:00:00+00:00,7301.32,7346.08,7291.75,7344.96,1712.856338
2020-01-04 00:00:00+00:00,7345.0,7350.0,7289.98,7302.24,1240.406484
2020-01-04 01:00:00+00:00,7304.96,7312.58,7280.85,7309.16,821.321239
2020-01-04 02:00:00+00:00,7308.71,7328.99,7296.18,7327.83,868.281715
2020-01-04 03:00:00+00:00,7328.21,7339.69,7318.56,7333.11,763.775397
2020-01-04 04:00:00+00:00,7333.14,7338.46,7312.65,7334.86,691.833205
2020-01-04 05:00:00+00:00,7334.59,7369.28,7325.0,7344.69,1306.738785
2020-01-04 06:00:00+00:00,7344.7,7367.88,7340.0,7354.96,1168.097036
2020-01-04 07:00:00+00:00,7354.95,7363.63,7327.32,7348.11,1352.880865
2020-01-04 08:00:00+00:00,7348.04,7365.0,7330.0,7346.59,1272.743225
2020-01-04 09:00:00+00:00,7346.4,7369.18,7339.28,7363.88,1084.110633
2020-01-04 10:00:00+00:00,7364.32,7369.63,7304.36,7318.3,1807.551552
2020-01-04 11:00:00+00:00,7318.15,7339.27,7302.1,7336.45,1520.454655
2020-01-04 12:00:00+00:00,7336.75,7339.58,7305.0,7312.89,1131.422667
2020-01-04 13:00:00+00:00,7312.79,7326.49,7291.0,7303.88,1549.128326
2020-01-04 14:00:00+00:00,7303.72,7323.74,7296.44,7316.72,874.231693
2020-01-04 15:00:00+00:00,7315.51,7332.0,7305.0,7318.99,870.0506
2020-01-04 16:00:00+00:00,7318.98,7323.26,7297.91,7307.11,1043.417942
2020-01-04 17:00:00+00:00,7308.0,7352.0,7305.0,7351.99,1237.984296
2020-01-04 18:00:00+00:00,7351.36,7404.0,7272.21,7306.92,4110.024469
2020-01-04 19:00:00+00:00,7306.6,7353.84,7283.01,7334.83,1966.929401
2020-01-04 20:00:00+00:00,7334.89,7352.64,7310.67,7341.06,1433.864061
2020-01-04 21:00:00+00:00,7340.9,7367.31,7330.72,7350.68,869.007514
2020-01-04 22:00:00+00:00,7350.72,7359.7,7342.67,7350.24,474.926109
2020-01-04 23:00:00+00:00,7350.05,7363.0,7328.9,7354.11,528.793108
2020-01-05 00:00:00+00:00,7354.19,7393.0,7354.11,7373.48,1432.35544
2020-01-05 01:00:00+00:00,7373.43,7481.87,7373.43,7459.18,6394.85574
2020-01-05 02:00:00+00:00,7459.91,7482.87,7432.79,7443.79,2038.01579
2020-01-05 03:00:00+00:00,7443.92,7478.0,7439.33,7475.99,1446.222876
2020-01-05 04:00:00+00:00,7476.0,7495.0,7444.0,7457.14,1859.909467
2020-01-05 05:00:00+00:00,7457.18,7470.0,7444.0,7459.12,952.444318
2020-01-05 06:00:00+00:00,7458.51,7481.25,7437.4,7457.5,1166.464289
2020-01-05 07:00:00+00:00,7457.83,7470.36,7442.0,7463.63,888.087854
2020-01-05 08:00:00+00:00,7463.64,7472.0,7410.0,7430.05,1595.878334
2020-01-05 09:00:00+00:00,7430.0,7436.84,7400.0,7427.74,2072.537095
2020-01-05 10:00:00+00:00,7427.7,7432.28,7403.21,7415.12,995.14421
2020-01-05 11:00:00+00:00,7415.1,7440.0,7410.0,7422.33,1001.517619
2020-01-05 12:00:00+00:00,7422.27,7460.46,7421.93,7457.01,1079.561263
2020-01-05 13:00:00+00:00,7457.79,7458.0,7415.0,7431.15,1337.571084
2020-01-05 14:00:00+00:00,7431.16,7444.73,7425.0,7431.82,831.78756
2020-01-05 15:00:00+00:00,7431.71,7476.31,7430.99,7468.42,1839.988518
2020-01-05 16:00:00+00:00,7467.91,7484.0,7450.0,7461.38,1764.362509
2020-01-05 17:00:00+00:00,7461.26,7470.76,7445.15,7464.65,904.275876
2020-01-05 18:00:00+00:00,7464.62,7468.87,7421.77,7438.72,1226.760244
2020-01-05 19:00:00+00:00,7439.02,7449.69,7427.1,7444.14,952.37598
2020-01-05 20:00:00+00:00,7444.71,7445.0,7426.0,7431.6,687.771423
2020-01-05 21:00:00+00:00,7431.01,7431.53,7361.01,7368.52,2225.194358
2020-01-05 22:00:00+00:00,7367.62,7385.65,7318.0,7355.73,2249.586037
2020-01-05 23:00:00+00:00,7355.73,7363.35,7321.0,7358.75,1388.41772
